1.-2t	耶肋米亚		
8.16	8:16 从丹就可听到敌人战马的喘息声，战马嘶鸣，声震全地；前来并吞土地和地上的一切，吞食城邑和城中的居民。		
8.17	8:17 看，我必给你们派来不怕符咒的毒蛇，咬伤你们──上主的断语──		
8.18	8:18 无法疗愈。		
			
8.-1t	无希望		
			
8.19t	我戚戚忧伤，我心已憔悴。		
8.19	8:19 听由远方传来我的女儿──人民──哀号的呼声：「上主已不在熙雍﹖或者她的君王已不在那里吗﹖──为什么他们以自己的偶象和外邦的「虚无」激怒我﹖──		
8.20	8:20 收割期已经过去，夏天已经完结，我们仍没有获救!」		
8.21	8:21 我的女儿──人民──的创伤使我心痛欲裂，郁郁不安，不胜感伤。		
8.22	8:22 难道在基肋阿得没有膏药，或在那里没有医生吗﹖究竟为了什么，我的女儿──人民──的创伤还没有痊愈﹖		
8.23	8:23 恨不得我的头变成水源，我的眼化为泪泉，好能日夜哭泣我被杀的女儿──人民!		
			
			
9.0t	第九章(25)		
			
9.1t	谴责犹大人民		
9.1 	9:1 谁能在旷野给我找一个旅栈，叫我好离开我的人民，离他们而远去﹖因为他们都是些淫乱之徒，是一群反叛；		
9.2 	9:2 他们弯起象弓的舌头，使在地上得势的，是虚伪而不是诚实，因为他们变本加厉作恶，全不理睬我──上主的断语。		
9.3 	9:3 你们应各自提防自己的近人，不要信赖任何弟兄，因为所有的弟兄都爱好欺诈，一般的近人都好说谗言；		
9.4 	9:4 人都欺骗自己的近人，不讲实话，使自己的舌头惯于说谎，竭力行恶，		
9.5 	9:5 不愿悔悟，却强暴上又加强暴，欺诈上又加欺诈，全不理睬我──上主的断语。		
9.6 	9:6 为此万军的上主这样说：「看，我要将他们净化，提炼；否则，我将怎样处理我的女儿──人民──的邪恶﹖		
9.7 	9:7 他们的舌头象根毒箭，好出诈言；嘴上对邻友说话温和，心中却设计陷害。		
9.8 	9:8 为这些事我岂能不惩?t──上主的断语──象这样的一个民族，我岂能不图报复﹖		
			
9.9t	哀国土荒废		
9.9 	9:9 我要为群山号咷痛哭，为原野高唱哀歌，因为全都被焚毁，再没有人往来，再听不到牲畜的声音；自天空的飞鸟至地上的走兽，都逃去无踪。		
9.10	9:10 我要使耶路撒冷成为废墟，成为豺狼的巢穴；使犹大的城市荒凉，无人居住。		
9.11	9:11 谁够聪明，能明白这事﹖上主亲口吩咐谁公布这事﹖「为什么这地遭受毁灭，荒芜得有如无人经过的旷野﹖」		
9.12	9:12 上主说：因为他们离弃了我给他们立定的法律，没有听从我的声音，没有按照法律而行；		
9.13	9:13 反去顺从自己顽固的心，追随祖先教给他们的巴耳神。		
9.14	9:14 为此万军的上主，以色列的天主这样说：看，我必使这人民吃毒艾，饮毒水；		
9.15	9:15 使他们流离到他们和他们祖先素不相识的民族中；派刀剑追击他们，直至将他们完全消灭。		
9.16	9:16 万军的上主这样说：你们应该明白，快召哀悼的妇女来，派人去叫擅长哭泣的女人来，		
9.17	9:17 叫她们迅速前来，对我们啼哭，使我们的眼睛流下眼泪，使我们的睫毛涌出泪水，		
9.18	9:18 因为从熙雍那里可以听到哭声：我们怎样崩溃了，受了多大的耻辱!竟要离开本国，拋弃我们的家园!		
9.19	9:19 你们妇女!都应听清上主的话，亲耳聆听他口授的言词；教你们的女儿痛哭，彼此互相学唱哀歌：		
9.20	9:20 因为死亡已从我们的窗户爬进来，进入了我们的宫殿，歼灭了街上的孩童和广场上的青年。		
9.21	9:21 你应这样说──上主的断语──人的尸体僵卧着，好象在田野里的粪堆；又象遗留在收割者后面无人拾取的麦束。		
			
9.22t	堪夸耀的事		
9.22	9:22 上主这样说：「智者不应夸耀自己的智慧，力士不应夸耀自己的力量，富人不应夸耀自己的财富。		
9.23	9:23 凡要夸耀的，只应在「知道和认识我」这件事上夸耀，因为在地上是我，上主，施行仁慈、公道和正义，因为我喜爱这些事──上主的断语。		
			
9.24t	未受割损的民族		
9.24	9:24 看，时日将到──上主的断语──我要惩罚所有受过割损而仍存有包皮的人，		
9.25	9:25 即埃及、犹大、厄东、阿孟子民、摩阿布和所有住在旷野剃除鬓发的人，因为这一切民族都未受过割损，至于以色列全家却是未受过内心的割损」。		
			
			
10.0t	第十章(25)		
			
10.1t	偶象乃虚无		
10.1 	10:1 以色列家!请听上主对你们说的话。		
10.2 	10:2 上主这样说：「你们不要学走异民的道路，不要畏惧天上的异兆：这是异民所畏惧的。		
10.3 	10:3 因为这些民族所敬畏的是「虚无」，是由森林砍来的树木，是匠人用斧制的作品，		
10.4 	10:4 装饰上金银，用铁钉铁锤钉住，叫它不动摇；		
10.5 	10:5 象胡瓜园里的草人，不能言语；常需要人搬运，不能行走；你们不要害怕，因为它不能害人，也不能施救。		
			
10.6t	上主惟一		
10.6 	10:6 上主，没有谁相似你；你是伟大的，你的名大有德能。		
10.7 	10:7 万民的君王!谁能不敬畏你﹖这是你应得的，因为万民中所有的智者和他们所有的王国中，没有谁与你相似；		
10.8 	10:8 他们全是愚昧无知。他们的教义全是虚伪不实，他们只不过是木偶；		
10.9 	10:9 是由塔尔史士采来的银打成的薄片，是由敖非尔采来的黄金，是艺人和银匠的制造品；穿的紫锦红衣，都是工匠的作品。		
10.10	10:10 只有上主是真天主，是生活的天主，永远的君王；他一震怒，大地便战慄，万民都不能抵受他的忿怒。		
10.11	10:11 【关于他们，你们应这样说：那未能创造天地的神祗，只有从地上天下消灭。】		
10.12	10:12 上主以自己的能力创造了大地，以自己的智慧奠定了寰宇，以自己的才智展布了诸天。		
10.13	10:13 他一声号令，使天上的水怒号，使云彩从地极上腾，使雷电霹雳造成豪雨，使暴风从他的仓库出发疾驰。		
10.14	10:14 人都要自觉愚昧无知；每个银匠必因自己的雕象感到羞愧，因为所铸的象，只是「虚无」，没有气息；		
10.15	10:15 是「虚无」，是愚弄人的作品；惩罚时期一到，它们都必要灭亡。		
10.16	10:16 那位作雅各伯产业的，与他们迥然不同，因为他是万物的造主，以色列是作他产业的支派，他的名字叫「万军的上主」。		
			
10.17t	恫吓与悲伤		
10.17	10:17 你这被围困的城池，快从地上拾起你的行囊!		
10.18	10:18 因为上主这样说：「看，这一次我必要远远拋弃这地的居民磨难他们，使他们觉悟。」		
10.19	10:19 唉!我已遭破坏，我的创伤已不可治疗，但我仍想：这只不过是疾病，我还能忍受。		
10.20	10:20 我的帐幕已破坏，我的绳索都已裂断，我的孩子全已离去，不复存在；再没有人支搭我的帐幕，张设我的帷幔。		
10.21	10:21 为民牧者既然愚蠢，不寻求上主，为此他们一事无成，羊群都已四散，		
10.22	10:22 听有个音讯传来：将有大骚动从北方而来，要使犹大的城邑荒凉，成为豺狼的巢穴。		
			
10.23t	不可逃避的灾祸		
10.23	10:23 上主，我知道，人的道路不由人的，行走的人也不能随便操纵自己的步伐。		
10.24	10:24 上主，你惩戒我，只好按照正义，不要随你的忿怒，免得我归于乌有。		
10.25	10:25 愿你对不认识你的异民，和不呼求你名的宗族，发泄你的愤怒，因为他们并吞了雅各伯，毁灭破坏，蹂躏了她的住所。		
			
			
11.0t	第十一章(23)		
			
11.1t	犹大违犯盟约		
11.1 	11:1 上主有话传给耶肋米亚说：		
11.2 	11:2 「你们应听这盟约上的话，将这些话宣读给犹大人和耶路撒冷的居民听。		
11.3 	11:3 你应对他们说：「上主，以色列的天主这样说：凡不听从这盟约上的话的人，是可咒骂的!		
11.4 	11:4 这些话是我在领你们的祖先由铁炉，即由埃及地出来的那天，对他们吩咐的。我对他们说：你们应听从我的声音，应依照我命令你们的一切去做，你们就必作我的人民，我也必作你们的天主，		
11.5 	11:5 好我能实践对你们祖先所起的誓，赐给他们流奶流蜜的土地，有如今日。」我即答说：「是，上主!」		
11.6 	11:6 上主对我说：「你应在犹大城邑和耶路撒冷的街上宣布这一切话说：你们应听从这盟约上的话，依照遵行，		
11.7 	11:7 因为在我领你们的祖先由埃及上来的那一天，我就郑重警告过他们，直到今日仍不断劝告说：你们应听从我的声音!		
11.8 	11:8 他们不但不侧耳听从，反而各随自己顽固的恶心生活，为此，我对他们执行了我命他们遵行，而他们没有遵行的这盟约上的一切话。」		
11.9 	11:9 上主又对我说：「犹大和耶路撒冷居民间存有叛逆的阴谋。		
11.10	11:10 他们再陷于他们那不愿听从我话的祖先的罪恶中，追随事奉其它的神祗；以色列家和犹大家都违犯了我与他们祖先缔结的盟约。		
11.11	11:11 为此，上主这样说：看，我必给他们召来不可逃避的灾祸；即使他们向我呼号，我也不俯听。		
11.12	11:12 犹大城邑和耶路撒冷的居民，必去呼号他们献香敬拜的神祗，但这些神祗在他们遭难时，决不能拯救他们。		
11.13	11:13 的确，犹大!你神祗的数目竟等于你城邑的数目；耶路撒冷有多少街道，你们也给可耻之物设立了多少祭坛，向巴耳献香的祭坛。		
11.14	11:14 至于你，你不必为这人民祈祷，不必为他们呼号祈求，因为他们在遭难时，才向我呼求，我必不俯听。		
11.15	11:15 我心爱的人!你既为非作歹，还在我家里做什么﹖难道许愿和祝圣的肉能使你免祸，叫你作恶而能幸免﹖		
11.16	11:16 上主曾给你起名叫：「青绿茂盛而满结佳果的橄榄树」；但现在他在雷电霹雳声中，给绿叶燃起了火，烧毁了枝条。		
11.17	11:17 那位培植你的万军的上主，命灾祸来惩罚你，全是为了以色列家和犹大家自作自受的罪恶，因为他们向巴耳献香，独犯了我。		
			
11.18t	先知遭同乡人谋害		
11.18	11:18 上主叫我知道，我才知道；那时我看透了他们的作为：		
11.19	11:19 我好象一只驯服被牵去宰杀的羔羊，竟不知他们对我蓄意谋害：「让我们毁坏这株生气蓬勃的树，将他由活人的地上拔除，使他的名字不再受人记念。」		
11.20	11:20 公平审判和洞察肺腑的万军的上主!愿我见到你对他们的报复，因为我已向你提出我的控诉。		
11.21	11:21 为此，关于那些谋害我的性命，对我说：「你不要奉上主的名讲预言，免得你死在我们手里」的阿纳托特人，上主这样说，		
11.22	11:22 万军的上主这样说：「看，我必惩罚他们：青年必死在刀下，子女必死于饥荒，		
11.23	11:23 使他们没有子嗣，因为在惩罚他们的那年，我必给阿纳托特人招来灾祸。」		
			
			
12.0t	第十二章(17)		
			
12.1t	恶人为何长享幸福		
12.1 	12:1 上主，几时我与你争辨，总是你有理；但我仍愿与你讨论正义：「为什么恶人的生活总是顺利，一般诡诈极恶的人总享安宁﹖		
12.2 	12:2 你栽植了他们，他们就生根滋长，结出果实；他们的口离你近，他们的心却离你远。		
12.3 	12:3 至于你，上主，你是认识我和了解我的，你考察了我对你的心意；求你把他们象待宰的羊一样拉出来，留待宰杀的一天。		
12.4 	12:4 【这地要哀伤，整个田野的草木要枯萎到几时﹖由于居民的邪恶，野兽和飞鸟都被消灭。】因为他们说：「天主不管我们的作为。」		
12.5 	12:5 「你与人徒步竞走，尚觉疲乏，你怎么能与马角逐﹖在平安的地区尚觉不安全，在约旦河的丛林区，你更将何如﹖		
12.6 	12:6 连你的兄弟和你的父族对你都无诚意，在你后面厉声喊叫；即便他们对你说好话，你也不要相信。」		
			
12.7t	荒凉的领域		
12.7 	12:7 「我离开了我的家，拋弃了我的产业，将我最心爱的交在敌人的手中。		
